
  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   388  3.2601e-03  1.0573e-07  7.9638e-08  5.1531e-05  4.8932e-06  5.5116e-01  7.6673e-02  0:08:09  612
   389  2.6986e-03  1.0327e-07  6.5645e-08  5.0418e-05  4.6276e-06  5.5116e-01  7.6673e-02  0:08:33  611
   390  2.4299e-03  8.2699e-08  6.0974e-08  4.9319e-05  4.3899e-06  5.5116e-01  7.6673e-02  0:08:52  610
   391  2.1486e-03  6.9488e-08  5.9099e-08  4.8150e-05  4.1828e-06  5.5116e-01  7.6673e-02  0:09:07  609
   392  1.8917e-03  6.1372e-08  5.6283e-08  4.6903e-05  3.9831e-06  5.5116e-01  7.6673e-02  0:09:18  608
   393  1.7728e-03  5.9064e-08  5.6281e-08  4.5947e-05  3.8118e-06  5.5116e-01  7.6673e-02  0:09:27  607
   394  1.7517e-03  6.0274e-08  5.9318e-08  4.5261e-05  3.6880e-06  5.5116e-01  7.6673e-02  0:09:34  606
   395  1.8728e-03  6.4522e-08  6.2976e-08  4.4627e-05  3.6093e-06  5.5116e-01  7.6673e-02  0:09:40  605
   396  2.1114e-03  6.6245e-08  6.9095e-08  4.3969e-05  3.5531e-06  5.5116e-01  7.6673e-02  0:09:44  604

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   397  2.4238e-03  7.8281e-08  7.3850e-08  4.3175e-05  3.4440e-06  5.5116e-01  7.6673e-02  0:09:47  603
   398  2.9385e-03  8.4617e-08  7.8025e-08  4.2222e-05  3.2942e-06  5.5116e-01  7.6673e-02  0:09:49  602
   399  3.4150e-03  9.5241e-08  7.8610e-08  4.1103e-05  3.1328e-06  5.5116e-01  7.6673e-02  0:07:50  601
   400  3.5243e-03  1.0542e-07  7.0801e-08  3.9957e-05  2.9816e-06  5.5116e-01  7.6673e-02  0:08:16  600
   401  3.3606e-03  1.1476e-07  5.9257e-08  3.8710e-05  2.7941e-06  5.5116e-01  7.6673e-02  0:08:36  599
   402  2.9179e-03  1.0543e-07  5.0784e-08  3.7415e-05  2.6162e-06  5.5116e-01  7.6673e-02  0:06:52  598
   403  2.5803e-03  7.3204e-08  4.5043e-08  3.6103e-05  2.4864e-06  5.5116e-01  7.6673e-02  0:07:28  597
   404  2.1642e-03  6.0127e-08  4.0978e-08  3.4750e-05  2.3747e-06  5.5116e-01  7.6673e-02  0:07:57  596
   405  1.9421e-03  5.9162e-08  4.1079e-08  3.3422e-05  2.2790e-06  5.5116e-01  7.6673e-02  0:08:20  595
   406  1.9030e-03  6.4405e-08  4.5785e-08  3.2108e-05  2.1605e-06  5.5116e-01  7.6673e-02  0:08:38  594
   407  1.8729e-03  6.3751e-08  5.0738e-08  3.0893e-05  2.0390e-06  5.5116e-01  7.6673e-02  0:08:53  593

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   408  2.0371e-03  7.1271e-08  5.5909e-08  2.9779e-05  1.9403e-06  5.5116e-01  7.6673e-02  0:09:04  592
   409  2.1932e-03  8.0071e-08  6.1264e-08  2.8610e-05  1.8495e-06  5.5116e-01  7.6673e-02  0:09:12  591
   410  2.2691e-03  7.9975e-08  6.3701e-08  2.7494e-05  1.7568e-06  5.5116e-01  7.6673e-02  0:09:19  590
   411  2.0793e-03  7.8657e-08  6.1279e-08  2.6331e-05  1.6372e-06  5.5116e-01  7.6673e-02  0:09:24  589
   412  1.8127e-03  7.1677e-08  4.8843e-08  2.5206e-05  1.5106e-06  5.5116e-01  7.6673e-02  0:09:28  588
   413  1.5417e-03  7.3474e-08  3.9526e-08  2.4050e-05  1.3968e-06  5.5116e-01  7.6673e-02  0:09:31  587
   414  1.2915e-03  8.1117e-08  3.1924e-08  2.3060e-05  1.3069e-06  5.5116e-01  7.6673e-02  0:09:33  586
   415  1.1794e-03  1.0679e-07  3.0150e-08  2.2122e-05  1.2514e-06  5.5116e-01  7.6673e-02  0:09:35  585
   416  1.2526e-03  1.1331e-07  2.9884e-08  2.1332e-05  1.2248e-06  5.5116e-01  7.6673e-02  0:11:33  584
   417  1.2104e-03  9.3755e-08  2.8691e-08  2.0535e-05  1.2032e-06  5.5116e-01  7.6673e-02  0:11:10  583
   418  1.1241e-03  8.3358e-08  2.4477e-08  1.9866e-05  1.1774e-06  5.5116e-01  7.6673e-02  0:12:48  582

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   419  9.8385e-04  8.1210e-08  2.0704e-08  1.9167e-05  1.1249e-06  5.5116e-01  7.6673e-02  0:12:09  581
   420  1.0056e-03  7.4838e-08  1.7688e-08  1.8555e-05  1.0800e-06  5.5116e-01  7.6673e-02  0:13:35  580
   421  9.4129e-04  6.6022e-08  1.7319e-08  1.7859e-05  1.0402e-06  5.5116e-01  7.6673e-02  0:12:46  579
   422  9.3017e-04  6.6859e-08  1.5728e-08  1.7228e-05  1.0402e-06  5.5116e-01  7.6673e-02  0:12:08  578
   423  9.0428e-04  6.6788e-08  1.6967e-08  1.6562e-05  1.0371e-06  5.5116e-01  7.6673e-02  0:13:32  577
   424  9.7334e-04  6.5576e-08  1.7065e-08  1.5961e-05  1.0131e-06  5.5116e-01  7.6673e-02  0:12:44  576
   425  9.5735e-04  6.1884e-08  1.8478e-08  1.5377e-05  9.6251e-07  5.5116e-01  7.6673e-02  0:14:00  575
   426  1.0489e-03  6.0492e-08  1.7698e-08  1.4867e-05  9.1269e-07  5.5116e-01  7.6673e-02  0:13:05  574
   427  1.0569e-03  5.9842e-08  1.8001e-08  1.4361e-05  8.4876e-07  5.5116e-01  7.6673e-02  0:12:22  573
   428  1.1638e-03  6.1732e-08  1.7298e-08  1.3901e-05  7.9170e-07  5.5116e-01  7.6673e-02  0:13:41  572
   429  1.1786e-03  6.5688e-08  1.7723e-08  1.3419e-05  7.2130e-07  5.5116e-01  7.6673e-02  0:14:44  571

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   430  1.3450e-03  8.5203e-08  1.8419e-08  1.2974e-05  6.7607e-07  5.5116e-01  7.6673e-02  0:13:40  570
   431  1.4325e-03  1.0035e-07  2.1577e-08  1.2542e-05  6.4959e-07  5.5116e-01  7.6673e-02  0:14:43  569
   432  1.6863e-03  8.9784e-08  2.3893e-08  1.2078e-05  6.2750e-07  5.5116e-01  7.6673e-02  0:13:38  568
   433  1.6285e-03  7.8601e-08  2.2539e-08  1.1667e-05  5.9762e-07  5.5116e-01  7.6673e-02  0:14:40  567
   434  1.7395e-03  7.7695e-08  2.0138e-08  1.1310e-05  5.8316e-07  5.5116e-01  7.6673e-02  0:13:36  566
   435  1.7541e-03  7.0027e-08  2.1034e-08  1.1007e-05  5.7792e-07  5.5116e-01  7.6673e-02  0:14:38  565
   436  1.8339e-03  6.8938e-08  1.8837e-08  1.0708e-05  5.5840e-07  5.5116e-01  7.6673e-02  0:13:34  564
   437  1.7654e-03  7.0609e-08  1.7727e-08  1.0474e-05  5.6564e-07  5.5116e-01  7.6673e-02  0:14:35  563
   438  1.8187e-03  7.2872e-08  1.6560e-08  1.0267e-05  5.7496e-07  5.5116e-01  7.6673e-02  0:13:31  562
   439  1.7186e-03  8.6912e-08  1.7317e-08  1.0053e-05  5.4437e-07  5.5116e-01  7.6673e-02  0:12:40  561
   440  1.8133e-03  1.1123e-07  1.7386e-08  9.9145e-06  5.3760e-07  5.5116e-01  7.6673e-02  0:13:51  560

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   441  1.7975e-03  9.4269e-08  2.1887e-08  9.7068e-06  5.1690e-07  5.5116e-01  7.6673e-02  0:12:55  559
   442  1.7654e-03  9.2414e-08  1.9852e-08  9.6206e-06  5.8393e-07  5.5116e-01  7.6673e-02  0:12:11  558
   443  1.5299e-03  8.2593e-08  1.9732e-08  9.4334e-06  5.7854e-07  5.5116e-01  7.6673e-02  0:13:26  557
   444  1.4699e-03  7.5817e-08  1.8149e-08  9.3174e-06  6.1853e-07  5.5116e-01  7.6673e-02  0:12:35  556
   445  1.1838e-03  6.7365e-08  1.7282e-08  9.2083e-06  6.6088e-07  5.5116e-01  7.6673e-02  0:11:54  555
   446  1.1114e-03  6.3094e-08  1.4333e-08  9.1314e-06  6.9831e-07  5.5116e-01  7.6673e-02  0:13:12  554
   447  9.4401e-04  5.8667e-08  1.3782e-08  9.0810e-06  7.4577e-07  5.5116e-01  7.6673e-02  0:12:23  553
   448  8.8791e-04  5.3816e-08  1.1881e-08  8.9862e-06  7.5739e-07  5.5116e-01  7.6673e-02  0:13:34  552
   449  7.4173e-04  4.9740e-08  1.1774e-08  8.9150e-06  7.9050e-07  5.5116e-01  7.6673e-02  0:14:30  551
   450  6.7350e-04  5.0045e-08  9.3091e-09  8.7543e-06  7.8354e-07  5.5116e-01  7.6673e-02  0:13:25  550
   451  5.8647e-04  5.5005e-08  9.2482e-09  8.5773e-06  7.5729e-07  5.5116e-01  7.6673e-02  0:14:23  549

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   452  5.7503e-04  6.7006e-08  8.5198e-09  8.3119e-06  6.8020e-07  5.5116e-01  7.6673e-02  0:13:18  548
   453  6.1488e-04  9.3219e-08  1.0857e-08  8.0953e-06  6.3312e-07  5.5116e-01  7.6673e-02  0:14:16  547
   454  7.2867e-04  8.2414e-08  1.2919e-08  7.8768e-06  6.0543e-07  5.5116e-01  7.6673e-02  0:13:13  546
   455  7.0758e-04  6.9225e-08  1.3575e-08  7.6870e-06  5.6708e-07  5.5116e-01  7.6673e-02  0:14:11  545
   456  6.1702e-04  6.7216e-08  1.0420e-08  7.5785e-06  5.5255e-07  5.5116e-01  7.6673e-02  0:13:09  544
   457  6.1927e-04  7.4119e-08  1.0011e-08  7.4098e-06  4.8986e-07  5.5116e-01  7.6673e-02  0:14:07  543
   458  5.9536e-04  7.5626e-08  9.8135e-09  7.3748e-06  5.4695e-07  5.5116e-01  7.6673e-02  0:13:05  542
   459  6.1883e-04  6.5069e-08  1.2091e-08  7.2604e-06  5.3607e-07  5.5116e-01  7.6673e-02  0:12:15  541
   460  5.6666e-04  5.3444e-08  1.0385e-08  7.2460e-06  6.1378e-07  5.5116e-01  7.6673e-02  0:11:35  540
   461  5.4420e-04  4.5284e-08  8.9553e-09  7.1379e-06  6.1511e-07  5.5116e-01  7.6673e-02  0:11:03  539
   462  4.8737e-04  4.1528e-08  6.9118e-09  7.0970e-06  6.6087e-07  5.5116e-01  7.6673e-02  0:10:37  538

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   463  4.6548e-04  4.2604e-08  6.3245e-09  6.9881e-06  6.4771e-07  5.5116e-01  7.6673e-02  0:10:16  537
   464  4.2542e-04  4.8726e-08  5.6612e-09  6.8655e-06  6.1710e-07  5.5116e-01  7.6673e-02  0:09:59  536
   465  4.6217e-04  6.1355e-08  6.4498e-09  6.7002e-06  5.5969e-07  5.5116e-01  7.6673e-02  0:11:32  535
   466  5.2658e-04  8.4497e-08  7.3494e-09  6.5265e-06  5.0311e-07  5.5116e-01  7.6673e-02  0:11:00  534
   467  6.5168e-04  8.7872e-08  1.0746e-08  6.3760e-06  5.0238e-07  5.5116e-01  7.6673e-02  0:10:33  533
   468  6.7994e-04  7.7687e-08  1.1092e-08  6.2031e-06  4.6298e-07  5.5116e-01  7.6673e-02  0:10:12  532
   469  5.8776e-04  6.5875e-08  1.1112e-08  6.1306e-06  5.0549e-07  5.5116e-01  7.6673e-02  0:09:55  531
   470  5.7563e-04  5.9933e-08  8.8469e-09  5.9558e-06  4.7602e-07  5.5116e-01  7.6673e-02  0:09:41  530
   471  5.3451e-04  5.2882e-08  8.1769e-09  5.9398e-06  5.2312e-07  5.5116e-01  7.6673e-02  0:09:30  529
   472  4.6747e-04  5.2929e-08  6.6031e-09  5.8391e-06  5.1626e-07  5.5116e-01  7.6673e-02  0:09:21  528
   473  4.6315e-04  5.8788e-08  6.9213e-09  5.8186e-06  5.4473e-07  5.5116e-01  7.6673e-02  0:07:28  527

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   474  4.6498e-04  6.6622e-08  7.2816e-09  5.8299e-06  5.9788e-07  5.5116e-01  7.6673e-02  0:07:43  526
   475  5.1355e-04  6.6562e-08  8.9106e-09  5.6878e-06  5.6982e-07  5.5116e-01  7.6673e-02  0:07:54  525
   476  4.8107e-04  6.4419e-08  8.9872e-09  5.5022e-06  5.3447e-07  5.5116e-01  7.6673e-02  0:08:04  524
   477  5.0226e-04  6.1460e-08  9.3845e-09  5.3071e-06  4.8450e-07  5.5116e-01  7.6673e-02  0:08:11  523
   478  4.9093e-04  5.5392e-08  8.8416e-09  5.1788e-06  4.7952e-07  5.5116e-01  7.6673e-02  0:08:16  522
   479  5.0343e-04  5.4235e-08  8.3901e-09  5.1252e-06  5.2059e-07  5.5116e-01  7.6673e-02  0:08:20  521
   480  4.8581e-04  5.9063e-08  7.5846e-09  5.0347e-06  5.2808e-07  5.5116e-01  7.6673e-02  0:06:40  520
   481  5.2237e-04  7.1064e-08  7.5855e-09  4.9772e-06  5.2189e-07  5.5116e-01  7.6673e-02  0:07:03  519
   482  5.5393e-04  8.4897e-08  7.8967e-09  4.8981e-06  4.8442e-07  5.5116e-01  7.6673e-02  0:07:21  518
   483  6.2660e-04  6.8692e-08  1.0323e-08  4.7909e-06  4.4288e-07  5.5116e-01  7.6673e-02  0:07:36  517
   484  5.7963e-04  6.2281e-08  9.8885e-09  4.7049e-06  4.2943e-07  5.5116e-01  7.6673e-02  0:07:47  516

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   485  5.4144e-04  5.1807e-08  9.3559e-09  4.6035e-06  4.0746e-07  5.5116e-01  7.6673e-02  0:07:56  515
   486  4.7939e-04  4.5708e-08  7.2807e-09  4.5178e-06  3.9715e-07  5.5116e-01  7.6673e-02  0:08:03  514
   487  4.4040e-04  4.5281e-08  5.9344e-09  4.4175e-06  3.8236e-07  5.5116e-01  7.6673e-02  0:08:08  513
   488  3.9482e-04  4.7365e-08  5.1574e-09  4.2985e-06  3.5501e-07  5.5116e-01  7.6673e-02  0:06:30  512
   489  3.9660e-04  5.0289e-08  5.8430e-09  4.1988e-06  3.3804e-07  5.5116e-01  7.6673e-02  0:06:53  511
   490  3.9457e-04  5.6862e-08  6.1707e-09  4.1243e-06  3.4132e-07  5.5116e-01  7.6673e-02  0:07:12  510
   491  4.4676e-04  7.2700e-08  7.1512e-09  4.1167e-06  3.9401e-07  5.5116e-01  7.6673e-02  0:07:27  509
   492  5.2177e-04  6.5733e-08  9.0437e-09  4.0862e-06  4.6251e-07  5.5116e-01  7.6673e-02  0:07:38  508
   493  5.3334e-04  5.4077e-08  8.8849e-09  4.0465e-06  5.0808e-07  5.5116e-01  7.6673e-02  0:06:06  507
   494  4.8193e-04  4.8398e-08  7.6273e-09  4.0330e-06  5.4554e-07  5.5116e-01  7.6673e-02  0:06:33  506
   495  4.6419e-04  4.8483e-08  6.2995e-09  4.0327e-06  5.6522e-07  5.5116e-01  7.6673e-02  0:06:55  505

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   496  4.4742e-04  5.3732e-08  5.8157e-09  4.0291e-06  5.6341e-07  5.5116e-01  7.6673e-02  0:07:12  504
   497  4.4875e-04  6.3136e-08  6.8489e-09  3.9978e-06  5.4883e-07  5.5116e-01  7.6673e-02  0:07:26  503
   498  4.5984e-04  6.3173e-08  7.5912e-09  3.9439e-06  5.5981e-07  5.5116e-01  7.6673e-02  0:07:36  502
   499  4.8201e-04  6.7039e-08  8.1339e-09  3.8789e-06  5.8669e-07  5.5116e-01  7.6673e-02  0:06:04  501
   500  5.3149e-04  8.0086e-08  8.3096e-09  3.8066e-06  6.0761e-07  5.5116e-01  7.6673e-02  0:06:31  500
   501  6.5220e-04  9.6512e-08  1.1069e-08  3.5889e-06  5.4290e-07  5.5116e-01  7.6673e-02  0:08:32  499
   502  7.1974e-04  7.8260e-08  1.3022e-08  3.4749e-06  5.5497e-07  5.5116e-01  7.6673e-02  0:08:28  498
   503  6.4720e-04  6.1363e-08  1.2169e-08  3.3965e-06  5.5284e-07  5.5116e-01  7.6673e-02  0:08:25  497
   504  5.2486e-04  5.2631e-08  1.0256e-08  3.3473e-06  5.5853e-07  5.5116e-01  7.6673e-02  0:08:22  496
   505  5.2808e-04  4.7519e-08  8.0154e-09  3.3553e-06  5.8141e-07  5.5116e-01  7.6673e-02  0:08:20  495
   506  4.7831e-04  4.2576e-08  6.8759e-09  3.2898e-06  5.6051e-07  5.5116e-01  7.6673e-02  0:06:39  494

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   507  4.6244e-04  3.9261e-08  6.4936e-09  3.2604e-06  5.6615e-07  5.5116e-01  7.6673e-02  0:06:57  493
   508  4.1558e-04  4.0756e-08  6.0807e-09  3.1674e-06  5.2293e-07  5.5116e-01  7.6673e-02  0:07:12  492
   509  4.0491e-04  4.4457e-08  5.7555e-09  3.1118e-06  4.9809e-07  5.5116e-01  7.6673e-02  0:07:23  491
   510  3.9808e-04  5.1159e-08  5.7558e-09  2.9840e-06  4.3650e-07  5.5116e-01  7.6673e-02  0:07:32  490
   511  4.0673e-04  5.7790e-08  6.7127e-09  2.9465e-06  4.1978e-07  5.5116e-01  7.6673e-02  0:07:38  489
   512  4.4854e-04  6.6863e-08  7.2846e-09  2.9248e-06  4.3286e-07  5.5116e-01  7.6673e-02  0:07:43  488
   513  4.9058e-04  6.4429e-08  8.4619e-09  2.8458e-06  4.4042e-07  5.5116e-01  7.6673e-02  0:06:10  487
   514  5.0662e-04  6.9805e-08  8.3024e-09  2.8204e-06  4.7877e-07  5.5116e-01  7.6673e-02  0:06:33  486
   515  5.0898e-04  6.7224e-08  8.7882e-09  2.7697e-06  5.0309e-07  5.5116e-01  7.6673e-02  0:06:50  485
   516  5.1721e-04  5.9413e-08  8.3324e-09  2.7047e-06  5.2159e-07  5.5116e-01  7.6673e-02  0:07:04  484
   517  4.6651e-04  5.7190e-08  7.0558e-09  2.6139e-06  5.0691e-07  5.5116e-01  7.6673e-02  0:07:15  483

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   518  4.4965e-04  6.0359e-08  6.4711e-09  2.5419e-06  4.8330e-07  5.5116e-01  7.6673e-02  0:05:48  482
   519  4.4871e-04  5.9736e-08  6.7330e-09  2.4732e-06  4.7164e-07  5.5116e-01  7.6673e-02  0:07:50  481
   520  4.3587e-04  5.1935e-08  6.4999e-09  2.4426e-06  4.9058e-07  5.5116e-01  7.6673e-02  0:07:51  480
   521  4.2946e-04  5.0956e-08  6.3082e-09  2.4004e-06  5.0988e-07  5.5116e-01  7.6673e-02  0:06:16  479
   522  4.0065e-04  5.1928e-08  5.2941e-09  2.3632e-06  5.1723e-07  5.5116e-01  7.6673e-02  0:06:36  478
   523  4.3731e-04  5.4914e-08  6.1388e-09  2.3513e-06  5.1743e-07  5.5116e-01  7.6673e-02  0:06:51  477
   524  4.7956e-04  6.2678e-08  7.2256e-09  2.4898e-06  5.8592e-07  5.5116e-01  7.6673e-02  0:07:04  476
   525  5.3137e-04  5.3487e-08  8.9781e-09  2.5024e-06  5.9974e-07  5.5116e-01  7.6673e-02  0:05:38  475
   526  4.2274e-04  4.7743e-08  6.9940e-09  2.5107e-06  6.1881e-07  5.5116e-01  7.6673e-02  0:06:05  474
   527  4.2599e-04  5.2659e-08  6.2349e-09  2.4435e-06  5.8291e-07  5.5116e-01  7.6673e-02  0:06:26  473
   528  4.0465e-04  6.6430e-08  5.8753e-09  2.3591e-06  5.3229e-07  5.5116e-01  7.6673e-02  0:06:42  472

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   529  5.3053e-04  8.8509e-08  8.5774e-09  2.3260e-06  4.9643e-07  5.5116e-01  7.6673e-02  0:06:55  471
   530  6.4129e-04  9.7232e-08  1.2985e-08  2.2060e-06  4.4796e-07  5.5116e-01  7.6673e-02  0:07:06  470
   531  6.6144e-04  7.2999e-08  1.4000e-08  2.1080e-06  4.4203e-07  5.5116e-01  7.6673e-02  0:07:14  469
   532  5.5595e-04  6.0658e-08  1.0575e-08  1.9697e-06  4.1856e-07  5.5116e-01  7.6673e-02  0:05:46  468
   533  5.5632e-04  6.1276e-08  8.9382e-09  1.9563e-06  4.4007e-07  5.5116e-01  7.6673e-02  0:06:10  467
   534  5.4788e-04  6.7247e-08  8.1458e-09  1.9882e-06  4.6978e-07  5.5116e-01  7.6673e-02  0:06:28  466
   535  5.6869e-04  7.5484e-08  9.5362e-09  2.1683e-06  5.8352e-07  5.5116e-01  7.6673e-02  0:06:43  465
   536  5.6768e-04  7.7971e-08  9.0576e-09  2.3439e-06  6.9165e-07  5.5116e-01  7.6673e-02  0:06:55  464
   537  5.6007e-04  6.8830e-08  9.3083e-09  2.3993e-06  7.4792e-07  5.5116e-01  7.6673e-02  0:07:03  463
   538  5.2320e-04  5.4906e-08  1.0164e-08  2.3290e-06  7.3673e-07  5.5116e-01  7.6673e-02  0:07:10  462
   539  4.7302e-04  4.4543e-08  8.6376e-09  2.2637e-06  7.1494e-07  5.5116e-01  7.6673e-02  0:07:16  461

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   540  4.6168e-04  4.5073e-08  7.0131e-09  2.2122e-06  6.9187e-07  5.5116e-01  7.6673e-02  0:05:48  460
   541  4.6057e-04  5.2848e-08  6.5851e-09  2.1908e-06  6.6986e-07  5.5116e-01  7.6673e-02  0:06:10  459
   542  4.8946e-04  5.4734e-08  7.3161e-09  2.1126e-06  6.2348e-07  5.5116e-01  7.6673e-02  0:06:27  458
   543  5.0519e-04  6.1805e-08  8.0228e-09  2.0398e-06  5.7760e-07  5.5116e-01  7.6673e-02  0:06:40  457
   544  5.2164e-04  6.2781e-08  9.0821e-09  1.9975e-06  5.4887e-07  5.5116e-01  7.6673e-02  0:06:50  456
   545  5.2984e-04  4.9176e-08  9.3173e-09  1.9039e-06  5.1350e-07  5.5116e-01  7.6673e-02  0:05:28  455
   546  4.6784e-04  5.3958e-08  6.7405e-09  1.8097e-06  4.8718e-07  5.5116e-01  7.6673e-02  0:05:52  454
   547  5.1037e-04  6.3838e-08  7.0570e-09  1.7144e-06  4.5777e-07  5.5116e-01  7.6673e-02  0:06:12  453
   548  5.7255e-04  6.8672e-08  8.6095e-09  1.6801e-06  4.7280e-07  5.5116e-01  7.6673e-02  0:06:27  452
   549  6.0564e-04  6.2091e-08  1.0443e-08  1.6730e-06  4.9906e-07  5.5116e-01  7.6673e-02  0:06:39  451
   550  5.6656e-04  7.1243e-08  9.2906e-09  1.7466e-06  5.5672e-07  5.5116e-01  7.6673e-02  0:05:19  450

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   551  5.9394e-04  8.6169e-08  9.7262e-09  1.8249e-06  6.0675e-07  5.5116e-01  7.6673e-02  0:05:44  449
   552  6.8302e-04  9.0908e-08  1.1892e-08  1.7765e-06  5.6831e-07  5.5116e-01  7.6673e-02  0:06:04  448
   553  7.3904e-04  9.2893e-08  1.3573e-08  1.6389e-06  4.8100e-07  5.5116e-01  7.6673e-02  0:06:20  447
   554  6.9278e-04  7.4544e-08  1.4026e-08  1.6162e-06  4.7947e-07  5.5116e-01  7.6673e-02  0:06:33  446
   555  7.0674e-04  5.6706e-08  1.2250e-08  1.5851e-06  4.9713e-07  5.5116e-01  7.6673e-02  0:06:42  445
   556  5.8305e-04  4.4454e-08  9.9686e-09  1.6455e-06  5.6410e-07  5.5116e-01  7.6673e-02  0:06:50  444
   557  5.5003e-04  4.1752e-08  8.7217e-09  1.6878e-06  6.1206e-07  5.5116e-01  7.6673e-02  0:06:56  443
   558  4.8846e-04  4.4170e-08  6.9611e-09  1.6973e-06  6.2191e-07  5.5116e-01  7.6673e-02  0:05:32  442
   559  4.9550e-04  5.1870e-08  7.4338e-09  1.7226e-06  6.2759e-07  5.5116e-01  7.6673e-02  0:05:53  441
   560  4.8489e-04  5.2976e-08  7.4392e-09  1.6412e-06  5.5926e-07  5.5116e-01  7.6673e-02  0:06:10  440
   561  5.3749e-04  7.0999e-08  8.8697e-09  1.5663e-06  4.8182e-07  5.5116e-01  7.6673e-02  0:06:23  439

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   562  6.3433e-04  7.1328e-08  1.0773e-08  1.4773e-06  4.2178e-07  5.5116e-01  7.6673e-02  0:05:06  438
   563  6.5817e-04  5.2025e-08  1.1069e-08  1.4108e-06  3.8739e-07  5.5116e-01  7.6673e-02  0:05:31  437
   564  5.6692e-04  4.8783e-08  9.3361e-09  1.3718e-06  3.5959e-07  5.5116e-01  7.6673e-02  0:05:52  436
   565  5.4451e-04  4.9215e-08  7.6338e-09  1.4187e-06  3.8577e-07  5.5116e-01  7.6673e-02  0:06:08  435
   566  5.0011e-04  4.6316e-08  7.1534e-09  1.5464e-06  4.6010e-07  5.5116e-01  7.6673e-02  0:04:54  434
   567  4.7567e-04  4.0369e-08  7.7229e-09  1.5611e-06  4.7298e-07  5.5116e-01  7.6673e-02  0:05:21  433
   568  4.3698e-04  3.9305e-08  7.3978e-09  1.5983e-06  4.9485e-07  5.5116e-01  7.6673e-02  0:05:43  432
   569  4.2960e-04  4.2761e-08  6.6199e-09  1.5526e-06  4.6412e-07  5.5116e-01  7.6673e-02  0:06:00  431
   570  4.3705e-04  4.6180e-08  6.6908e-09  1.5542e-06  4.5891e-07  5.5116e-01  7.6673e-02  0:04:47  430
   571  4.4269e-04  3.8690e-08  6.9987e-09  1.4805e-06  4.3779e-07  5.5116e-01  7.6673e-02  0:06:41  429
   572  4.1141e-04  3.4453e-08  6.3317e-09  1.4565e-06  4.4103e-07  5.5116e-01  7.6673e-02  0:05:20  428

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   573  3.7002e-04  3.3621e-08  5.3847e-09  1.4524e-06  4.6502e-07  5.5116e-01  7.6673e-02  0:05:41  427
   574  3.5730e-04  3.5232e-08  4.8357e-09  1.4586e-06  4.9849e-07  5.5116e-01  7.6673e-02  0:05:57  426
   575  3.5534e-04  4.1118e-08  4.8934e-09  1.4741e-06  5.4218e-07  5.5116e-01  7.6673e-02  0:06:10  425
   576  3.7485e-04  5.4344e-08  5.8479e-09  1.4869e-06  5.5217e-07  5.5116e-01  7.6673e-02  0:06:20  424
   577  4.3693e-04  7.4433e-08  6.8250e-09  1.3881e-06  4.8373e-07  5.5116e-01  7.6673e-02  0:06:28  423
   578  5.2857e-04  7.8771e-08  9.3096e-09  1.3528e-06  4.5255e-07  5.5116e-01  7.6673e-02  0:05:10  422
   579  5.7989e-04  6.0258e-08  1.0507e-08  1.2448e-06  3.9204e-07  5.5116e-01  7.6673e-02  0:05:31  421
   580  5.2344e-04  5.3029e-08  9.5839e-09  1.2650e-06  4.1415e-07  5.5116e-01  7.6673e-02  0:05:48  420
   581  4.6348e-04  4.2552e-08  8.0446e-09  1.1552e-06  3.7287e-07  5.5116e-01  7.6673e-02  0:06:02  419
   582  4.2595e-04  3.6180e-08  5.9573e-09  1.1775e-06  4.0117e-07  5.5116e-01  7.6673e-02  0:04:49  418
   583  3.8314e-04  3.8939e-08  5.4465e-09  1.1474e-06  3.9606e-07  5.5116e-01  7.6673e-02  0:05:14  417

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   584  3.6455e-04  4.4861e-08  5.3491e-09  1.2088e-06  4.4375e-07  5.5116e-01  7.6673e-02  0:05:34  416
   585  3.7911e-04  4.6259e-08  6.4685e-09  1.2949e-06  4.8439e-07  5.5116e-01  7.6673e-02  0:05:49  415
