
  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
    62  1.8898e-03  2.3271e-07  1.4353e-07  1.9593e-03  1.2431e-03  5.3971e-01  7.6317e-02  0:23:04  938
    63  1.7678e-03  2.2519e-07  1.3455e-07  1.8814e-03  1.1964e-03  5.4022e-01  7.6330e-02  0:21:33  937
    64  1.7295e-03  2.1848e-07  1.2781e-07  1.8077e-03  1.1507e-03  5.4069e-01  7.6343e-02  0:20:21  936
    65  1.7390e-03  2.1225e-07  1.2188e-07  1.7391e-03  1.1068e-03  5.4112e-01  7.6356e-02  0:22:30  935
    66  1.7897e-03  2.0374e-07  1.1649e-07  1.6755e-03  1.0646e-03  5.4152e-01  7.6368e-02  0:21:05  934

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
    67  1.8950e-03  1.9486e-07  1.1188e-07  1.6162e-03  1.0244e-03  5.4190e-01  7.6379e-02  0:19:58  933
    68  1.9851e-03  1.8715e-07  1.0732e-07  1.5595e-03  9.8578e-04  5.4225e-01  7.6390e-02  0:19:04  932
    69  1.9419e-03  1.8124e-07  1.0209e-07  1.5077e-03  9.4896e-04  5.4258e-01  7.6401e-02  0:18:20  931
    70  1.8896e-03  1.7639e-07  9.6360e-08  1.4592e-03  9.1362e-04  5.4289e-01  7.6411e-02  0:17:45  930
    71  1.8043e-03  1.7230e-07  9.1364e-08  1.4127e-03  8.7978e-04  5.4318e-01  7.6421e-02  0:17:17  929
    72  1.6865e-03  1.6799e-07  8.7280e-08  1.3676e-03  8.4755e-04  5.4346e-01  7.6431e-02  0:16:54  928
    73  1.5961e-03  1.6317e-07  8.3688e-08  1.3255e-03  8.1700e-04  5.4373e-01  7.6440e-02  0:16:36  927
    74  1.5124e-03  1.5839e-07  8.0652e-08  1.2858e-03  7.8761e-04  5.4398e-01  7.6449e-02  0:16:21  926
    75  1.4520e-03  1.5384e-07  7.8362e-08  1.2481e-03  7.5923e-04  5.4422e-01  7.6457e-02  0:19:14  925
    76  1.4096e-03  1.4913e-07  7.6583e-08  1.2123e-03  7.3194e-04  5.4445e-01  7.6465e-02  0:18:27  924
    77  1.4153e-03  1.4418e-07  7.4303e-08  1.1780e-03  7.0552e-04  5.4467e-01  7.6473e-02  0:17:49  923

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
    78  1.4306e-03  1.4023e-07  7.2182e-08  1.1441e-03  6.8006e-04  5.4488e-01  7.6481e-02  0:17:19  922
    79  1.4500e-03  1.3784e-07  6.9555e-08  1.1118e-03  6.5574e-04  5.4509e-01  7.6488e-02  0:16:54  921
